,mean,std,2.5%,97.5%,significant
const,1.056867571530167,0.1913559454652363,0.661186438756696,1.4287281516648487,True
cc4_world_lag,0.09436463148972174,0.11312106068428691,-0.12439979417220519,0.3273814135742537,False
cc4_wealthUS_lag,0.05630684251325411,0.0864739568176214,-0.10796030966185326,0.2331444497252166,False
cc4_poorUS_lag,-0.02080703716123645,0.10632537009161587,-0.22903789544270964,0.19945479632167704,False
cc4_comm_lag,-0.037697477996959244,0.14775596998633014,-0.3382447079301826,0.22961025107986932,False
cc4_famheal_lag,-0.02301396613085477,0.14276951846921485,-0.2968710056342925,0.26726958576267557,False
cc4_famecon_lag,0.048787485733152836,0.09417815227756908,-0.13972436447513734,0.23323335567890793,False
ccSolve_lag,0.04554586689456761,0.02783204735875442,-0.010131613796787847,0.1002191038533598,False
cc_pol_tax_lag,0.10742238232212088,0.024362713148922202,0.06150182800385293,0.15417391211326015,True
cc_pol_car_lag,-0.031464885967816034,0.025446795030551438,-0.0810316846449232,0.02025402968972031,False
pol_ideology_lag,0.041137013880537074,0.06665579751709459,-0.08498999810499532,0.18286627543666972,False
dem_income,0.0686914991888918,0.05466039897659749,-0.04379305065314752,0.17233856385533552,False
dem_age,-0.0030512058807359325,0.0016423993475544578,-0.006164794887695083,0.00018871246952686645,False
dem_educ,0.09477005920849133,0.08013482651398166,-0.05812466610561203,0.2560650619243958,False
dem_male,0.06517559498729078,0.04603216337162454,-0.025413649310321997,0.15402034781327473,False
cc4_world_x_pol_ideology_lag,-0.013435369600026548,0.038864630427400265,-0.0892830058542397,0.06128497900521749,False
cc4_wealthUS_x_pol_ideology_lag,-0.014586831896438082,0.02839335737857237,-0.07209893169071944,0.037465802263509894,False
cc4_poorUS_x_pol_ideology_lag,0.01741299085876031,0.03661069831851516,-0.05693480923877278,0.0914171878653358,False
cc4_comm_x_pol_ideology_lag,-0.005944910259220101,0.04934870952305764,-0.09955440002593215,0.09049853419324042,False
cc4_famheal_x_pol_ideology_lag,0.021707992966618142,0.04848902419976024,-0.07248969976699726,0.11804000023503577,False
cc4_famecon_x_pol_ideology_lag,-0.006492171347095157,0.030936319351953564,-0.06471673661202568,0.05471128672618705,False
